Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;5;8;207;34,20;0,00;0,40
2;5;11;200;36,20;0,00;0,40
3;5;15;192;35,20;0,00;0,40
4;5;17;187;37,20;0,00;0,40
5;5;20;181;39,20;0,00;0,40
6;5;20;178;47,20;0,00;0,40
7;6;22;174;46,67;0,00;0,67
8;7;25;168;41,86;0,00;0,86
9;7;25;167;45,14;0,00;0,86
10;7;26;166;44,14;0,00;0,86
11;7;28;161;45,29;0,00;0,86
12;7;29;156;46,43;0,00;0,86
13;7;30;154;45,43;0,00;0,86
14;7;33;149;44,43;0,00;0,86
15;7;35;146;45,57;0,00;0,86
16;7;37;142;46,71;0,00;0,86
17;7;39;138;45,71;0,00;0,86
18;7;39;135;46,86;0,00;0,86
19;7;40;132;48,00;0,00;0,86
20;7;43;128;47,00;0,00;0,86
21;7;44;123;48,14;0,00;0,86
22;7;46;119;47,14;0,00;0,86
23;7;46;116;50,43;0,00;0,86
24;7;47;112;53,71;0,00;0,86
25;7;49;107;54,86;0,00;0,86
26;7;46;107;60,29;0,00;0,86
27;8;46;106;54,25;0,00;1,00
28;8;49;103;53,25;0,00;1,00
29;8;50;102;52,25;0,00;1,00
30;8;51;101;51,25;0,00;1,00
31;8;51;99;52,13;0,00;1,00
32;8;53;97;53,00;0,00;1,00
33;8;55;95;52,00;0,00;1,00
34;8;55;91;54,75;0,00;1,00
